EmployeeID,Department,YearsAtCompany,MonthlySalary,OvertimeHours,JobSatisfaction,Attrition
EMP-0056,R&D,9,10300.37,16,Low,Yes
EMP-0057,Sales,7,7736.33,22,Very High,No
EMP-0058,Sales,2,6627.75,36,Low,No
EMP-0059,R&D,4,7290.79,15,Medium,No
EMP-0060,R&D,9,6304.7,5,Low,No
EMP-0061,Sales,12,5624.42,7,High,No
EMP-0062,Sales,14,6873.68,24,Medium,No
EMP-0063,R&D,2,8092.98,17,Low,No
EMP-0064,Sales,10,5663.85,24,Low,Yes
EMP-0065,Sales,9,5379.97,11,Low,No
EMP-0066,Sales,10,5860.12,14,High,No
EMP-0067,Sales,5,8213.62,25,High,No
EMP-0068,Sales,2,9114.59,25,Medium,No
EMP-0069,Sales,4,7151.63,31,Medium,Yes
EMP-0070,R&D,12,7546.37,9,High,No
EMP-0071,R&D,12,5366.54,15,Low,No
EMP-0072,R&D,7,8078.16,6,Medium,No
EMP-0073,R&D,12,7493.13,16,Very High,No
EMP-0074,Sales,13,5221.77,22,High,No
EMP-0075,Sales,8,3282.19,25,Medium,Yes
EMP-0076,R&D,3,4302.97,20,High,No
EMP-0077,Sales,14,5295.44,21,Medium,No
EMP-0078,R&D,1,8591.49,6,High,No
EMP-0079,R&D,4,9295.15,13,Low,No
EMP-0080,R&D,2,5708.87,14,Low,Yes
EMP-0081,Sales,8,5765.75,6,Low,Yes
EMP-0082,Sales,4,6970.92,8,Very High,No
EMP-0083,R&D,2,6521.86,7,High,Yes
EMP-0084,Sales,14,8175.68,22,Low,No
EMP-0085,R&D,6,5558.26,28,Low,Yes
EMP-0086,R&D,6,8208.46,17,High,No
EMP-0087,Human Resources,10,6069.4,30,Low,Yes
EMP-0088,Sales,4,8037.15,29,Medium,Yes
EMP-0089,R&D,6,6012.13,38,Very High,No
EMP-0090,R&D,13,5396.43,34,Medium,Yes
EMP-0091,Sales,2,9942.17,17,High,No
EMP-0092,Sales,10,8417.41,38,Very High,No
EMP-0093,R&D,12,3274.32,16,Medium,No
EMP-0094,Sales,2,5695.81,13,Low,No
EMP-0095,Sales,10,8668.86,30,Medium,No
EMP-0096,Sales,14,4346.01,23,Very High,No
EMP-0097,R&D,4,7887.22,34,Very High,No
EMP-0098,R&D,14,7700.7,33,High,No
EMP-0099,R&D,8,5241.54,2,Low,No
EMP-0100,Sales,14,6484.13,36,High,Yes
EMP-0101,Sales,7,3000.0,39,Very High,No
EMP-0102,R&D,12,9686.78,25,High,No
EMP-0103,R&D,9,5943.63,22,Very High,No
EMP-0104,Sales,14,7946.86,38,Very High,No
EMP-0105,R&D,8,7604.91,14,High,No
EMP-0106,Human Resources,5,8944.19,3,High,No
EMP-0107,R&D,13,5720.05,28,Medium,No
EMP-0108,R&D,2,6866.88,21,Low,No
EMP-0109,Human Resources,5,7506.4,24,High,No
EMP-0110,Sales,8,8070.57,12,Medium,No
EMP-0111,R&D,10,8577.84,17,Very High,No
EMP-0112,Human Resources,9,5640.71,32,Very High,No
EMP-0113,Sales,12,5304.39,15,High,No
EMP-0114,R&D,12,8948.2,1,Low,Yes
EMP-0115,R&D,12,3000.0,34,Medium,Yes
EMP-0116,R&D,13,9326.06,33,Low,Yes
EMP-0117,R&D,9,5955.82,29,High,No
EMP-0118,Human Resources,13,6491.79,12,High,No
EMP-0119,R&D,13,5271.78,12,Very High,No
EMP-0120,Sales,1,6413.25,17,Medium,No
EMP-0121,R&D,9,8788.05,31,Very High,No
EMP-0122,Sales,7,7887.55,31,Very High,No
EMP-0123,Sales,9,7386.84,34,Medium,No
EMP-0124,R&D,8,6659.97,38,Very High,No
EMP-0125,R&D,1,3897.9,28,Medium,Yes
EMP-0126,R&D,12,4980.55,28,Medium,No
EMP-0127,Human Resources,8,5882.24,15,High,Yes
EMP-0128,R&D,8,7323.82,9,Medium,Yes
EMP-0129,R&D,11,6625.37,29,High,No
EMP-0130,Sales,3,8270.31,24,High,No
EMP-0131,Human Resources,1,7352.53,38,High,No
EMP-0132,Human Resources,8,6597.83,19,Medium,No
EMP-0133,R&D,3,10596.37,4,High,No
EMP-0134,Sales,3,7231.21,0,High,No
EMP-0135,Sales,1,5722.5,29,High,No
EMP-0136,Sales,11,9847.94,2,Medium,No
EMP-0137,Sales,5,8660.74,13,Low,No
EMP-0138,Sales,10,9768.96,29,High,No
EMP-0139,Human Resources,7,6300.32,3,Low,Yes
EMP-0140,R&D,10,8257.36,17,High,No
EMP-0141,Sales,9,3884.87,36,High,Yes
EMP-0142,Sales,12,7911.21,24,High,No
EMP-0143,Sales,7,6216.1,0,High,No
EMP-0144,Sales,9,4060.9,14,Very High,No
EMP-0145,Sales,8,8358.68,8,Very High,No
EMP-0146,Sales,12,3241.76,14,Very High,No
EMP-0147,R&D,2,3057.13,23,Very High,No
EMP-0148,Human Resources,1,7152.46,3,Low,No
EMP-0149,Sales,7,7528.43,11,Low,Yes
EMP-0150,R&D,7,8246.94,36,High,No
EMP-0151,R&D,14,7835.53,36,Medium,No
EMP-0152,Sales,8,9157.99,5,Medium,No
EMP-0153,Sales,5,7760.44,38,Medium,Yes
EMP-0154,R&D,3,6261.86,23,High,No
EMP-0155,Sales,12,6367.5,10,High,No
EMP-0156,R&D,8,5992.0,12,High,No
EMP-0157,R&D,6,7031.86,33,High,No
EMP-0158,Sales,11,4524.78,24,Very High,Yes
EMP-0159,Sales,3,7113.66,6,Medium,No
EMP-0160,R&D,1,6344.46,3,Very High,No
EMP-0161,Sales,3,6996.14,7,Low,Yes
EMP-0162,Sales,5,7001.7,19,Very High,No
EMP-0163,R&D,14,3000.0,28,High,No
EMP-0164,R&D,3,4877.67,9,Medium,Yes
EMP-0165,Sales,1,6304.47,33,Low,Yes
EMP-0166,R&D,5,6400.13,25,Medium,Yes
EMP-0167,Sales,10,6966.9,2,Low,No
EMP-0168,R&D,7,7044.23,5,Low,Yes
EMP-0169,R&D,14,9229.22,4,High,No
EMP-0170,R&D,7,7062.43,4,High,No
EMP-0171,R&D,11,5936.56,22,High,No
EMP-0172,Human Resources,9,3621.58,8,Very High,No
EMP-0173,Sales,10,4036.54,34,High,Yes
EMP-0174,R&D,10,7463.89,19,High,No
EMP-0175,Sales,12,8408.8,34,Low,No
EMP-0176,Sales,13,9274.47,17,High,No
EMP-0177,Sales,3,5009.79,16,Medium,No
EMP-0178,Human Resources,7,5953.04,23,Very High,No
EMP-0179,Human Resources,1,6936.2,2,Very High,No
EMP-0180,Sales,4,10185.32,31,High,No
EMP-0181,Sales,13,6706.75,34,Low,Yes
EMP-0182,R&D,4,9292.27,37,Very High,No
EMP-0183,R&D,14,6805.95,12,High,No
EMP-0184,Sales,5,8575.84,24,Low,No
EMP-0185,R&D,7,8347.84,8,Medium,No
EMP-0186,R&D,7,6798.96,3,High,No
EMP-0187,Human Resources,13,4663.31,13,Low,Yes
EMP-0188,Sales,11,6015.63,36,Very High,No
EMP-0189,R&D,13,9180.28,33,Medium,No
EMP-0190,R&D,4,8080.09,10,Low,Yes
EMP-0191,R&D,13,5719.43,2,Very High,No
EMP-0192,R&D,7,5883.84,27,Medium,Yes
EMP-0193,R&D,11,3384.43,28,High,No
EMP-0194,Sales,3,9099.81,8,Low,No
EMP-0195,R&D,6,8094.91,2,Low,No
EMP-0196,R&D,12,6253.26,24,High,No
EMP-0197,Sales,2,6860.24,33,High,No
EMP-0198,R&D,10,3000.0,11,High,No
EMP-0199,Sales,13,5623.91,8,High,No
EMP-0200,Sales,14,8902.0,14,High,No
EMP-0201,R&D,9,8266.79,39,Low,No
EMP-0202,R&D,5,7095.26,24,Medium,Yes
EMP-0203,R&D,6,6473.51,4,Very High,No
EMP-0204,Sales,12,7933.53,10,High,No
EMP-0205,R&D,12,5993.51,33,High,No
EMP-0206,Sales,12,3503.55,23,Medium,No
EMP-0207,Sales,12,6488.84,14,Medium,No
EMP-0208,Human Resources,4,7225.61,37,High,Yes
EMP-0209,R&D,14,8520.82,7,Very High,No
EMP-0210,R&D,14,3905.85,4,High,No
EMP-0211,Sales,11,6278.76,25,Very High,No
EMP-0212,R&D,10,6364.45,17,High,No
EMP-0213,R&D,7,4517.75,5,Low,No
EMP-0214,R&D,12,7377.81,36,Medium,No
EMP-0215,R&D,9,7845.26,12,Low,No
EMP-0216,Sales,7,5976.75,27,Medium,No
EMP-0217,Sales,14,10199.17,4,Very High,No
EMP-0218,R&D,1,5925.15,12,Medium,Yes
EMP-0219,Sales,1,5695.97,16,High,No
EMP-0220,Sales,9,5643.79,39,Low,Yes
EMP-0221,Human Resources,11,5032.1,31,Medium,No
EMP-0222,R&D,14,5493.75,28,Medium,No
EMP-0223,R&D,9,3918.64,2,Medium,No
EMP-0224,R&D,4,6155.24,39,High,Yes
EMP-0225,R&D,13,6603.45,33,Medium,No
EMP-0226,Sales,9,3000.0,39,High,Yes
EMP-0227,Sales,3,6316.49,26,Low,No
EMP-0228,Sales,7,6575.84,12,Low,No
EMP-0229,Sales,6,7426.26,32,Medium,No
EMP-0230,R&D,8,8668.34,5,High,No
EMP-0231,Sales,11,8032.44,23,High,No
EMP-0232,R&D,9,5383.35,18,Medium,No
EMP-0233,Sales,14,5174.46,15,Medium,No
EMP-0234,Sales,5,7543.11,39,High,No
EMP-0235,R&D,1,5514.9,27,Low,Yes
EMP-0236,Sales,3,4289.5,32,Medium,Yes
EMP-0237,Sales,10,10773.46,12,Very High,No
EMP-0238,Sales,12,5940.7,24,High,No
EMP-0239,Sales,8,5372.26,35,Medium,No
EMP-0240,R&D,11,3000.0,26,Very High,No
EMP-0241,Sales,6,8032.52,37,High,No
EMP-0242,Sales,8,4721.72,6,Medium,No
EMP-0243,R&D,9,6551.52,4,High,No
EMP-0244,Sales,4,8243.52,30,High,Yes
EMP-0245,R&D,1,4749.92,22,Medium,Yes
EMP-0246,R&D,14,6643.07,9,Medium,No
EMP-0247,R&D,1,9242.82,31,Medium,Yes
EMP-0248,R&D,10,3000.0,29,High,No
EMP-0249,Sales,4,5041.09,38,Medium,Yes
EMP-0250,R&D,12,4871.82,30,Very High,No
EMP-0251,Sales,14,6163.57,17,High,No
EMP-0252,R&D,7,6413.98,35,Low,Yes
EMP-0253,Sales,2,4589.73,1,High,No
EMP-0254,R&D,3,5322.13,13,Medium,No
EMP-0255,R&D,1,5108.2,12,High,No
EMP-0256,Sales,5,5868.58,28,High,No
EMP-0257,Sales,1,6892.8,11,Medium,Yes
EMP-0258,R&D,8,8139.02,38,Medium,Yes
EMP-0259,R&D,1,8399.6,1,Low,Yes
EMP-0260,Sales,11,7676.54,31,Low,No
EMP-0261,R&D,1,4926.85,12,Medium,No
EMP-0262,Human Resources,2,6494.07,26,Medium,No
EMP-0263,R&D,2,10773.79,16,Very High,No
EMP-0264,Sales,12,8326.16,39,Medium,Yes
EMP-0265,R&D,6,5707.09,30,Medium,No
EMP-0266,Sales,7,9347.67,33,High,Yes
EMP-0267,Human Resources,5,5801.48,23,Low,Yes
EMP-0268,R&D,1,5296.88,34,Very High,No
EMP-0269,Sales,1,9012.32,5,High,No
EMP-0270,R&D,3,4142.63,18,High,No
EMP-0271,Sales,14,3055.2,29,Low,Yes
EMP-0272,Human Resources,2,8194.31,6,Medium,No
EMP-0273,Human Resources,5,6549.84,9,Medium,No
EMP-0274,R&D,12,6729.26,31,Very High,Yes
EMP-0275,Sales,10,5849.44,33,Low,No
EMP-0276,R&D,6,6070.71,27,Medium,Yes
EMP-0277,Sales,7,5675.4,14,Very High,No
EMP-0278,Sales,4,5373.21,29,Medium,Yes
EMP-0279,R&D,7,5812.56,36,Medium,No
EMP-0280,Sales,11,5755.79,28,Low,Yes
EMP-0281,Sales,8,5008.55,21,Very High,No
EMP-0282,Human Resources,11,5518.7,3,Low,No
EMP-0283,Sales,1,3000.0,19,High,No
EMP-0284,Sales,6,7732.36,31,High,Yes
EMP-0285,Human Resources,8,7202.46,35,Medium,Yes
EMP-0286,Sales,5,6347.16,3,High,No
EMP-0287,R&D,4,6927.18,26,Low,Yes
EMP-0288,Human Resources,2,6992.44,16,Medium,Yes
EMP-0289,Human Resources,6,5196.8,11,High,No
EMP-0290,R&D,6,5541.36,21,Very High,No
EMP-0291,Sales,11,7450.97,16,High,No
EMP-0292,Sales,1,6873.51,9,High,No
EMP-0293,R&D,9,10177.98,0,Low,No
EMP-0294,R&D,12,9415.3,21,Low,No
EMP-0295,R&D,11,8179.42,25,Low,No
EMP-0296,Sales,6,5128.88,17,Medium,Yes
EMP-0297,Sales,13,5483.8,13,Medium,No
EMP-0298,Sales,3,4696.32,28,Medium,No
EMP-0299,R&D,4,7003.56,11,Medium,No
EMP-0300,R&D,12,3000.0,35,Medium,No
EMP-0301,Human Resources,11,5674.49,34,High,No
EMP-0302,R&D,4,5947.91,11,Very High,No
EMP-0303,Sales,3,3756.28,6,Medium,No
EMP-0304,R&D,10,7935.93,28,Very High,No
EMP-0305,R&D,3,4449.54,10,Very High,No
EMP-0306,R&D,3,6981.94,32,Low,Yes
EMP-0307,R&D,4,11510.8,5,High,No
EMP-0308,R&D,7,3600.19,14,High,No
EMP-0309,R&D,4,6232.61,31,High,No
EMP-0310,Sales,9,5766.57,10,Medium,No
EMP-0311,Sales,1,5416.46,22,High,Yes
EMP-0312,R&D,8,7868.45,25,Medium,No
EMP-0313,Sales,7,8491.39,33,High,No
EMP-0314,Sales,2,7888.95,33,High,Yes
EMP-0315,Sales,8,5197.99,28,High,No
EMP-0316,R&D,1,10880.93,3,High,No
EMP-0317,Sales,11,3313.56,16,High,No
EMP-0318,R&D,12,4641.27,34,Low,Yes
EMP-0319,Human Resources,9,6805.51,12,Medium,No
EMP-0320,Sales,9,6660.91,38,Very High,No
EMP-0321,Sales,2,7378.48,14,Medium,No
EMP-0322,Sales,7,9344.24,28,Low,No
EMP-0323,R&D,14,6284.27,28,Low,No
EMP-0324,Sales,10,6704.71,10,Medium,No
EMP-0325,Sales,3,5429.87,31,Very High,No
EMP-0326,Sales,7,7558.99,1,High,No
EMP-0327,R&D,12,5926.74,13,Very High,No
EMP-0328,R&D,10,5925.7,19,High,Yes
EMP-0329,R&D,9,7478.27,21,Medium,Yes
EMP-0330,Human Resources,4,8362.86,10,Medium,No
EMP-0331,Sales,12,3000.0,26,High,Yes
EMP-0332,R&D,1,7149.4,2,Low,No
EMP-0333,Sales,2,6013.63,16,Very High,No
EMP-0334,R&D,1,8205.71,27,Very High,No
EMP-0335,R&D,14,6049.78,28,Medium,Yes
EMP-0336,R&D,12,8841.89,20,Very High,No
EMP-0337,Sales,5,5282.46,15,Very High,No
EMP-0338,Sales,5,3000.0,36,High,Yes
EMP-0339,Sales,11,8392.87,19,Low,No
EMP-0340,Sales,7,4981.62,5,Medium,No
EMP-0341,Sales,9,3655.55,18,High,No
EMP-0342,Sales,9,6528.9,4,Medium,No
EMP-0343,Sales,3,6069.48,2,Low,No
EMP-0344,R&D,3,7981.59,0,High,No
EMP-0345,R&D,3,8106.34,37,Low,Yes
EMP-0346,R&D,4,6672.12,14,High,No
EMP-0347,Sales,8,4907.33,33,Very High,No
EMP-0348,R&D,6,7016.49,34,Very High,No
EMP-0349,Sales,8,6797.35,24,Medium,No
EMP-0350,Human Resources,1,7524.09,23,Very High,No
EMP-0351,Sales,8,4925.35,11,Low,No
EMP-0352,R&D,4,5779.33,17,Low,Yes
EMP-0353,Human Resources,11,7416.88,14,High,No
EMP-0354,R&D,1,8745.19,15,Medium,No
EMP-0355,R&D,8,8238.66,26,Medium,Yes
EMP-0356,R&D,4,6647.7,7,High,No
EMP-0357,Human Resources,6,5622.69,24,Low,Yes
EMP-0358,R&D,8,7226.88,16,Medium,No
EMP-0359,R&D,4,4535.5,28,Medium,No
EMP-0360,R&D,14,5029.4,7,High,No
EMP-0361,R&D,3,9217.59,14,High,No
EMP-0362,R&D,14,7223.66,26,Medium,Yes
EMP-0363,R&D,9,5874.45,6,Medium,No
EMP-0364,Sales,3,7992.45,2,Low,No
EMP-0365,Sales,9,8816.55,28,Low,No
EMP-0366,Sales,13,5699.65,23,High,No
EMP-0367,Sales,2,5730.67,2,Medium,No
EMP-0368,Sales,14,5505.24,19,Low,No
EMP-0369,R&D,2,8234.93,14,High,No
EMP-0370,Sales,2,8252.4,24,High,Yes
EMP-0371,R&D,6,8994.63,29,High,No
EMP-0372,Sales,3,8315.49,13,Medium,Yes
EMP-0373,Sales,13,3562.01,6,Medium,No
EMP-0374,R&D,9,7005.74,16,Medium,No
EMP-0375,R&D,4,4594.91,19,Low,Yes
EMP-0376,Sales,1,5576.75,35,High,Yes
EMP-0377,R&D,4,6807.07,8,Very High,No
EMP-0378,R&D,1,8004.02,37,High,Yes
EMP-0379,Sales,14,4896.48,21,High,No
EMP-0380,Sales,5,3000.0,1,Medium,No
EMP-0381,Human Resources,4,6824.96,23,High,No
EMP-0382,R&D,8,11258.43,7,Medium,No
EMP-0383,R&D,8,6134.88,10,High,No
EMP-0384,R&D,7,6584.45,12,Medium,No
EMP-0385,Sales,3,9707.89,16,Low,Yes
EMP-0386,R&D,1,7562.49,7,Medium,No
EMP-0387,Sales,1,6890.35,20,Very High,No
EMP-0388,R&D,12,7295.81,17,Medium,Yes
EMP-0389,R&D,11,6950.44,29,Low,No
EMP-0390,R&D,3,4448.44,17,Medium,No
EMP-0391,Sales,6,4085.4,30,High,No
EMP-0392,Sales,7,9896.29,37,High,Yes
EMP-0393,R&D,6,6830.99,31,High,No
EMP-0394,R&D,14,6680.17,10,Low,Yes
EMP-0395,R&D,14,6337.59,24,High,No
EMP-0396,Sales,6,7905.93,32,Medium,Yes
EMP-0397,R&D,6,11069.64,37,Very High,No
EMP-0398,Sales,13,7443.11,7,High,No
EMP-0399,Human Resources,3,5441.44,10,Low,No
EMP-0400,Sales,6,6259.88,21,Low,No
EMP-0401,R&D,8,8427.79,23,Low,Yes
EMP-0402,Sales,11,5450.96,16,Medium,No
EMP-0403,Human Resources,11,8034.04,11,Medium,No
EMP-0404,R&D,2,3000.0,31,High,Yes
EMP-0405,Sales,5,6086.22,14,Medium,Yes
EMP-0406,Sales,14,7630.65,15,Medium,No
EMP-0407,Sales,1,8786.23,21,Low,Yes
EMP-0408,Sales,12,5026.75,27,Low,Yes
EMP-0409,Human Resources,1,3795.02,19,Very High,No
EMP-0410,R&D,5,6030.68,32,Medium,Yes
EMP-0411,R&D,12,4474.25,9,High,No
EMP-0412,R&D,13,6231.73,39,Very High,No
EMP-0413,R&D,3,6488.02,31,High,Yes
EMP-0414,Sales,4,4125.54,32,Very High,Yes
EMP-0415,Sales,3,7947.99,1,Medium,No
EMP-0416,R&D,1,6217.01,32,Very High,Yes
EMP-0417,Human Resources,1,8444.83,32,Low,Yes
EMP-0418,Sales,12,3179.17,12,Low,No
EMP-0419,Sales,12,4669.05,29,High,No
EMP-0420,R&D,14,7430.0,32,Very High,No
EMP-0421,Human Resources,13,5061.6,12,Very High,No
EMP-0422,Sales,14,6203.84,25,Low,Yes
EMP-0423,R&D,5,6501.26,21,Medium,No
EMP-0424,R&D,6,6784.86,38,Very High,Yes
EMP-0425,Sales,3,5280.38,1,Medium,No
EMP-0426,Sales,12,6768.72,37,High,No
EMP-0427,R&D,9,5091.42,38,Very High,Yes
EMP-0428,Human Resources,5,7713.7,25,Medium,No
EMP-0429,Sales,8,6293.28,14,Medium,No
EMP-0430,R&D,13,6779.07,33,Medium,Yes
EMP-0431,R&D,1,11125.87,39,Medium,Yes
EMP-0432,R&D,14,4507.21,10,Very High,No
EMP-0433,R&D,5,8999.45,2,Medium,No
EMP-0434,R&D,3,3000.0,5,Very High,No
EMP-0435,R&D,12,3000.0,8,Low,Yes
EMP-0436,R&D,1,4266.85,5,Very High,No
EMP-0437,R&D,4,4380.45,8,Medium,No
EMP-0438,R&D,13,6866.66,38,Low,Yes
EMP-0439,R&D,5,7021.72,30,Low,No
EMP-0440,Sales,7,6041.32,31,High,No
EMP-0441,R&D,1,6230.22,11,High,No
EMP-0442,R&D,3,7449.98,7,Very High,No
EMP-0443,Sales,2,7999.8,7,Low,No
EMP-0444,R&D,9,4112.23,27,Low,No
EMP-0445,R&D,10,5848.6,19,High,No
EMP-0446,Sales,6,6374.74,6,Medium,No
EMP-0447,Sales,10,7373.57,10,Medium,No
EMP-0448,Sales,3,5109.2,19,Very High,No
EMP-0449,Sales,8,6339.4,15,Very High,No
EMP-0450,R&D,14,6553.97,3,Very High,No
EMP-0451,Sales,8,5231.95,5,High,No
EMP-0452,R&D,2,5189.03,21,Medium,Yes
EMP-0453,R&D,6,6677.74,25,Medium,Yes
EMP-0454,R&D,7,6265.38,2,High,No
EMP-0455,R&D,2,7400.86,13,Very High,No
EMP-0456,Sales,11,4604.13,10,Low,No
EMP-0457,R&D,10,5868.77,17,Medium,No
EMP-0458,Sales,2,6087.41,11,Low,No
EMP-0459,R&D,10,7964.96,22,High,No
EMP-0460,Human Resources,1,4807.26,11,Very High,No
EMP-0461,Sales,8,6922.37,12,High,No
EMP-0462,Sales,1,6954.96,24,Medium,Yes
EMP-0463,R&D,9,9463.52,18,Very High,No
EMP-0464,R&D,11,4687.24,35,High,No
EMP-0465,R&D,6,5316.98,7,Low,No
EMP-0466,Sales,7,4812.76,28,Medium,Yes
EMP-0467,R&D,13,3494.4,31,Medium,No
EMP-0468,Sales,10,9676.44,17,Low,Yes
EMP-0469,R&D,7,4265.3,5,Very High,No
EMP-0470,Human Resources,10,5030.65,17,Medium,No
EMP-0471,R&D,3,8868.38,18,Very High,No
EMP-0472,R&D,2,3344.41,21,Medium,No
EMP-0473,Sales,9,7861.43,36,Low,Yes
EMP-0474,R&D,8,3956.56,31,Medium,Yes
EMP-0475,R&D,13,8744.05,2,Low,Yes
EMP-0476,Sales,12,3000.0,27,Medium,No
EMP-0477,R&D,10,3343.76,9,Very High,No
EMP-0478,Sales,7,5519.14,34,High,No
EMP-0479,R&D,9,8249.28,28,High,Yes
EMP-0480,R&D,4,6444.28,14,Low,No
EMP-0481,R&D,13,5895.71,32,Low,Yes
EMP-0482,Sales,4,8922.88,6,Low,No
EMP-0483,R&D,1,10379.43,11,High,No
EMP-0484,R&D,8,7710.06,29,Low,Yes
EMP-0485,Human Resources,14,5378.86,20,Medium,No
EMP-0486,R&D,14,5747.34,30,High,No
EMP-0487,Sales,12,4180.79,23,Medium,No
EMP-0488,R&D,3,6681.47,19,Low,Yes
EMP-0489,R&D,7,3566.73,36,Medium,Yes
EMP-0490,R&D,12,7493.35,3,Very High,No
EMP-0491,R&D,2,10110.03,27,High,Yes
EMP-0492,R&D,2,7791.66,19,Medium,No
EMP-0493,R&D,7,5655.53,23,Low,Yes
EMP-0494,R&D,6,7448.49,31,Very High,No
EMP-0495,Sales,3,9416.96,35,High,Yes
EMP-0496,Sales,9,9326.89,33,Medium,Yes
EMP-0497,Sales,10,4693.24,35,Very High,Yes
EMP-0498,Sales,14,7418.53,1,Medium,Yes
EMP-0499,R&D,13,6215.42,14,High,No
EMP-0500,R&D,6,7951.87,33,High,Yes
